Player,Position,Depth
ROY PHILON,NT,3
RICARDO MATHEWS,NT,4
DEVAUNTE SIGLER,NT,5
STEPHON TUITT,RDE,1
LETERRIUS WALTON,RDE,2
BRIAN MIHALIK,RDE,3
JOHNNY MAXEY,RDE,4
BUD DUPREE,LOLB,1
ARTHUR MOATS,LOLB,2
TRAVIS FEENEY,LOLB,3
KEVIN ANDERSON,LOLB,4
RYAN SHAZIER,LILB,1
STEVEN JOHNSON,LILB,2
TYLER MATAKEVICH,LILB,3
LAWRENCE TIMMONS,RILB,1
VINCE WILLIAMS,RILB,2
LJ FORT,RILB,3
JARVIS JONES,ROLB,1
JAMES HARRISON,ROLB,2
ANTHONY CHICKILLO,ROLB,3
JORDAN ZUMWALT,ROLB,4
WILLIAM GAY,LCB,1
SENQUEZ GOLSON,LCB,2
DORAN GRANT,LCB,3
AL-HAJJ SHABAZZ,LCB,4
SHAMARKO THOMAS,SS,1
SEAN DAVIS,SS,2
JORDAN DANGERFIELD,SS,3
RAY VINOPAL,SS,4
MIKE MITCHELL,FS,1
ROBERT GOLDEN,FS,2
ROSS VENTRONE,FS,3
JACOB HAGEN,FS,4
ROSS COCKRELL,RCB,1
ARTIE BURNS,RCB,2
MONTELL GARNER,RCB,3
DONALD WASHINGTON,RCB,4
JORDAN BERRY,P,1
WILL MONDAY,P,2
SHAUN SUISHAM,PK,1
CHRIS BOSWELL,PK,2
GREG WARREN,LS,1
MATT DOOLEY,LS,2
JORDAN BERRY,H,1
ANTONIO BROWN,PR,1
MARKUS WHEATON,PR,2
MARKUS WHEATON,KR,1
FITZGERALD TOUSSAINT,KR,2
MARTAVIS SUS BRYANT,SUS,1
DEANDRE HOPKINS,LWR,1
CECIL SHORTS,LWR,2
JOSH LENZ,LWR,3
BRAXTON MILLER,LWR,4
TEVIN JONES,LWR,5
WILL FULLER,RWR,1
KEITH MUMPHERY,RWR,2
JAELEN STRONG,RWR,3
RICHARD MULLANEY,RWR,4
WENDALL WILLIAMS,RWR,5
DUANE BROWN,LT,1
CHRIS CLARK,LT,2
ANDREW MCDONALD,LT,3
ARTURO UZDAVINIS,LT,4
XAVIER FILO,LG,1
CHAD SLADE,LG,2
NICK MARTIN,C,1
GREG MANCZ,C,2
TONY BERGSTROM,C,3
DALTON FREEMAN,C,4
JEFF ALLEN,RG,1
ODAY ABOUSHI,RG,2
KARIM BARTON,RG,3
DEREK NEWTON,RT,1
JEFF ADAMS,RT,2
KENDALL LAMM,RT,3
CJ FIEDOROWICZ,TE,1
RYAN GRIFFIN,TE,2
AD DENHAM,TE,3
ERIC TOMLINSON,TE,4
STEPHEN ANDERSON,TE,5
BROCK OSWEILER,QB,1
TOM SAVAGE,QB,2
BRANDON WEEDEN,QB,3
JAY PROSCH,FB,1
SOMA VAINUKU,FB,2
LAMAR MILLER,RB,1
ALFRED BLUE,RB,2
TYLER ERVIN,RB,3
JONATHAN GRIMES,RB,4
KENNY HILLIARD,RB,5
AKEEM HUNT,RB,5
JJ WATT,RDE,1
JEOFFREY PAGAN,RDE,2
GERALD RIVERS,RDE,3
DAN PETTINATO,RDE,4
VINCE WILFORK,NT,1
CHRISTIAN COVINGTON,NT,2
DJ READER,NT,3
BRANDON DUNN,LDE,1
DEVON STILL,LDE,2
JOEL HEATH,LDE,3
UFOMBA KAMALU,LDE,4
WHITNEY MERCILUS,SLB,1
CARLOS THOMPSON,SLB,2
BRENNAN SCARLETT,SLB,3
RYAN LANGFORD,SLB,4
BRIAN CUSHING,LILB,1
AKEEM DENT,LILB,2
MAX BULLOUGH,LILB,3
RESHARD CLIETT,LILB,4
BENARDRICK MCKINNEY,RILB,1
BRIAN PETERS,RILB,2
SHAKEEL RASHAD,RILB,3
