Player,Position,Depth
SIONE HOUMA,FB,2
BOBBY RICHARDSON,LDE,1
DAVID ONYEMATA,LDE,2
JOHN JENKINS,NT,1
TYELER DAVISON,NT,2
ASHAAD MABRY,NT,3
SHELDON RANKINS,DT,1
NICK FAIRLEY,DT,2
CAMERON JORDAN,RDE,1
OBUM GWACHAM,RDE,2
DJ PETTWAY,RDE,3
STEPHONE ANTHONY,SLB,1
HAU'OLI KIKAHA,SLB,2
KASIM EDEBALI,SLB,3
ERIK HARRIS,SLB,4
DILLON LEE,SLB,5
JAMES LAURINAITIS,MLB,1
MICHAEL MAUTI,MLB,2
NATHAN STUPAR,MLB,3
JEFF SCHOETTMER,MLB,4
DANNELL ELLERBE,WLB,1
DAVIS TULL,WLB,2
CRAIG ROBERTSON,WLB,3
TONY STEWARD,WLB,4
DELVIN BREAUX,LCB,1
KEENAN LEWIS,LCB,2
KYLE WILSON,LCB,3
BRANDON DIXON,LCB,4
DE'VANTE HARRIS,LCB,5
KENNY VACCARO,SS,1
ALDEN DARBY,SS,2
JAMARCA SANFORD,SS,3
ROMAN HARPER,SS,4
TRAE ELSTON,SS,5
JAIRUS BYRD,FS,1
VONN BELL,FS,2
PJ WILLIAMS,RCB,1
DAMIAN SWANN,RCB,2
BRIAN DIXON,RCB,3
TONY CARTER,RCB,4
KEN CRAWLEY,RCB,5
JIMMY PRUITT,RCB,5
THOMAS MORSTEAD,P,1
KAI FORBATH,PK,1
CONNOR BARTH,PK,2
JUSTIN DRESCHER,LS,1
GARRETT GRAYSON,H,1
THOMAS MORSTEAD,KO,1
CJ SPILLER,PR,1
BRANDIN COOKS,PR,2
MARCUS MURPHY,PR,3
CJ SPILLER,KR,1
BRANDIN COOKS,KR,2
MARCUS MURPHY,KR,3
MITCHELL LOEWEN,RES,1
VINCENT JACKSON,LWR,1
DONTEEA DYE,LWR,2
EVAN SPENCER,LWR,3
KENNY BELL,LWR,4
ANDRE DAVIS,LWR,5
MIKE EVANS,RWR,1
ADAM HUMPHRIES,RWR,2
RUSSELL SHEPARD,RWR,3
LOUIS MURPHY,RWR,4
BERNARD REEDY,RWR,5
FREDDIE MARTINO,RWR,5
DONOVAN SMITH,LT,1
KEVIN PAMPHILE,LT,2
TAYLOR FALLIN,LT,3
JR SWEEZY,LG,1
GARRETT GILKEY,LG,2
DOMINIQUE ROBERTSON,LG,3
JOE HAWLEY,C,1
EVAN SMITH,C,2
BEN GOTTSCHALK,C,3
JOSH ALLEN,C,4
ALI MARPET,RG,1
CALEB BENENOCH,RG,2
DEMAR DOTSON,RT,1
GOSDER CHERILUS,RT,2
LEONARD WESTER,RT,3
KELBY JOHNSON,RT,4
AUSTIN JENKINS,TE,1
BRANDON MYERS,TE,2
TEVIN WESTBROOK,TE,3
LUKE STOCKER,TE,1
CAMERON BRATE,TE,2
KIVON CARTWRIGHT,TE,3
DAN VITALE,FB,1
ALAN CROSS,FB,2
JAMEIS WINSTON,QB,1
MIKE GLENNON,QB,2
RYAN GRIFFIN,QB,3
DAN LEFEVOUR,QB,4
DOUG MARTIN,RB,1
CHARLES SIMS,RB,2
MIKE JAMES,RB,3
STORM JOHNSON,RB,4
PEYTON BARBER,RB,5
RUSSELL HANSBROUGH,RB,5
WILLIAM GHOLSTON,LDE,1
GEORGE JOHNSON,LDE,2
CLIFF MATTHEWS,LDE,3
CHANNING WARD,LDE,4
GERALD MCCOY,LDT,1
DAVONTE LAMBERT,LDT,2
AJ FRANCIS,LDT,3
AKEEM SPENCE,RDT,1
CLINTON MCDONALD,RDT,2
TRAVIS BRITZ,RDT,3
ROBERT AYERS,RDE,1
NOAH SPENCE,RDE,2
JACQUIES SMITH,RDE,3
HOWARD JONES,RDE,4
KOURTNEI BROWN,RDE,5
DARYL SMITH,SLB,1
JOSH KEYES,SLB,2
CASSANOVA MCKINZY,SLB,3
KWON ALEXANDER,MLB,1
ADARIUS GLANTON,MLB,2
LUKE RHODES,MLB,3
LAVONTE DAVID,WLB,1
JEREMIAH GEORGE,WLB,2
DEVANTE BOND,WLB,3
MICAH AWE,WLB,4
BRENT GRIMES,LCB,1
JOEL ROSS,LCB,2
JOHNTHAN BANKS,LCB,3
RYAN SMITH,LCB,4
KIMARIO MCFADDEN,LCB,5
KEITH TANDY,SS,1
MAJOR WRIGHT,SS,2
ELIJAH SHUMATE,SS,3
BRAD MCDOUGALD,FS,1
CHRIS CONTE,FS,2
ISAIAH JOHNSON,FS,3
VERNON HARGREAVES,RCB,1
JUDE BARIMAH,RCB,2
ALTERRAUN VERNER,RCB,3
JAVIEN ELLIOTT,RCB,4
JOSH ROBINSON,N-B,1
JAKE SCHUM,P,1
BRYAN ANGER,P,2
ROBERTO AGUAYO,PK,1
ANDREW DEPAOLA,LS,1
JAKE SCHUM,H,1
MIKE GLENNON,H,2
ROBERTO AGUAYO,KO,1
JAKE SCHUM,KO,2
ADAM HUMPHRIES,PR,1
ADAM HUMPHRIES,KR,1
DEZ STEWART,RES,1
JOHN LOWDERMILK,RES,2
LARRY FITZGERALD,LWR,1
JARON BROWN,LWR,2
BRITTAN GOLDEN,LWR,3
MARQUIS BUNDY,LWR,4
RICO RICHARDSON,LWR,5
MICHAEL FLOYD,RWR,1
JJ NELSON,RWR,2
JAXON SHIPLEY,RWR,3
AMIR CARLISLE,RWR,4
CHRIS HUBERT,RWR,5
JOHN BROWN,SWR,1
JARED VELDHEER,LT,1
ROB CRISP,LT,2
CLAY DEBORD,LT,3
MIKE IUPATI,LG,1
ANTOINE MCCLAIN,LG,2
JAKE BERNSTEIN,LG,3
AQ SHIPLEY,C,1
EVAN BOEHM,C,2
TAYLOR BOGGS,C,3
EVAN MATHIS,RG,1
EARL WATFORD,RG,2
COLE TONER,RG,3
DJ HUMPHRIES,RT,1
JOHN WETZEL,RT,2
GIVENS PRICE,RT,3
DARREN FELLS,TE,1
TROY NIKLAS,TE,2
IFEANYI MOMAH,TE,3
JERMAINE GRESHAM,TE,1
GERALD CHRISTIAN,TE,2
HAKEEM VALLES,TE,3
CARSON PALMER,QB,1
DREW STANTON,QB,2
MATT BARKLEY,QB,3
JAKE COKER,QB,4
DAVID JOHNSON,RB,1
ANDRE ELLINGTON,RB,2
KERWYNN WILLIAMS,RB,3
CHRIS JOHNSON,RB,1
STEPFAN TAYLOR,RB,2
ELIJHAA PENNY,RB,3
CALAIS CAMPBELL,LDE,1
ROBERT NKEMDICHE,LDE,2
RED BRYANT,LDE,3
OLSEN PIERRE,LDE,4
COREY PETERS,NT,1
RODNEY GUNTER,NT,2
XAVIER WILLIAMS,NT,3
CHANDLER JONES,RDT,1
FROSTEE RUCKER,RDT,2
ED STINSON,RDT,3
JOSH MAURO,RDT,4
MARKUS GOLDEN,SLB,1
SHAQUILLE RIDDICK,SLB,2
TRISTAN OKPALAUGO,SLB,3
ALEX OKAFOR,SLB,4
DEONE BUCANNON,RILB,1
ALANI FUA,RILB,2
KEVIN MINTER,LILB,1
QUAYSHAWN NEALY,LILB,2
LAMAR LOUIS,LILB,3
KAREEM MARTIN,WLB,1
GABE MARTIN,WLB,2
ZACK WAGENMANN,WLB,3
PATRICK PETERSON,LCB,1
ASA JACKSON,LCB,2
CARRINGTON BYNDOM,LCB,3
HARLAN MILLER,LCB,4
RONALD ZAMORT,LCB,5
ELI BOUKA,LCB,5
DJ SWEARINGER,SS,1
MARQUI CHRISTIAN,SS,2
TYREQUEK ZIMMERMAN,SS,3
TYRANN MATHIEU,FS,1
TONY JEFFERSON,FS,2
CHRIS CLEMONS,FS,3
DURELL ESKRIDGE,FS,4
MATTHIAS FARLEY,FS,5
TYVON BRANCH,RCB,1
JUSTIN BETHEL,RCB,2
SHAUN PRATER,RCB,3
CARIEL BROOKS,RCB,4
BRANDON WILLIAMS,RCB,5
TREVON HARTFIELD,RCB,5
DREW BUTLER,P,1
GARRETT SWANSON,P,2
CHANDLER CATANZARO,PK,1
KAMERON CANADY,LS,1
DANIEL DILLON,LS,2
DREW BUTLER,H,1
PATRICK PETERSON,PR,1
JJ NELSON,PR,2
BRITTAN GOLDEN,PR,3
KERWYNN WILLIAMS,KR,1
JJ NELSON,KR,2
DARYL WASHINGTON,SUS,1
KENNY BRITT,LWR,1
PHAROH COOPER,LWR,2
BRADLEY MARQUEZ,LWR,3
DEON LONG,LWR,4
NELSON SPRUCE,LWR,5
DUKE WILLIAMS,LWR,4
PAUL MCROBERTS,LWR,5
TAVON AUSTIN,RWR,1
BRIAN QUICK,RWR,2
MIKE THOMAS,RWR,3
JJ WORTON,RWR,4
MARQUEZ NORTH,RWR,5
GREG ROBINSON,LT,1
DARRELL WILLIAMS,LT,2
JORDAN SWINDLE,LT,3
RODGER SAFFOLD,LG,1
GARRETT REYNOLDS,LG,2
DAVID ARKIN,LG,3
TIM BARNES,C,1
DEMETRIUS RHANEY,C,2
ERIC KUSH,C,3
JAMON BROWN,RG,1
ANDREW DONNAL,RG,2
CODY WICHMANN,RG,3
BRIAN FOLKERTS,RG,4
ROB HAVENSTEIN,RT,1
ISAIAH BATTLE,RT,2
PACE MURPHY,RT,3
CORY HARKEY,TE,1
TYLER HIGBEE,TE,2
TEMARRICK HEMINGWAY,TE,3
LANCE KENDRICKS,TE,1
JUSTICE CUNNINGHAM,TE,2
BENSON BROWNE,TE,3
NICK FOLES,QB,1
JARED GOFF,QB,2
SEAN MANNION,QB,3
CASE KEENUM,QB,4
DYLAN THOMPSON,QB,5
TODD GURLEY,RB,1
TRE MASON,RB,2
BENNY CUNNINGHAM,RB,3
CHASE REYNOLDS,RB,4
MALCOLM BROWN,RB,5
TERRENCE MAGEE,RB,3
AARON GREEN,RB,4
ZACH LASKEY,RB,5
WILLIAM HAYES,LDE,1
QUINTON COPLES,LDE,2
MATT LONGACRE,LDE,3
AARON DONALD,LDT,1
DOMINIQUE EASLEY,LDT,2
LOUIS PASAT,LDT,3
MICHAEL BROCKERS,RDT,1
ETHAN WESTBROOKS,RDT,2
CAM THOMAS,RDT,3
ROBERT QUINN,RDE,1
EUGENE SIMS,RDE,2
MORGAN FOX,RDE,3
AKEEM AYERS,OLB,1
CORY LITTLETON,OLB,2
IAN SEAU,OLB,3
ALEC OGLETREE,MLB,1
BRYCE HAGER,MLB,2
BRANDON CHUBB,MLB,3
DARREON HERRING,MLB,4
MARK BARRON,OLB,1
JOSH FORREST,OLB,2
CAMERON LYNCH,OLB,3
MATTHEW WELLS,OLB,4
TRUMAINE JOHNSON,LCB,1
LAMARCUS JOYNER,LCB,2
MICHAEL JORDAN,LCB,3
JABRIEL WASHINGTON,LCB,4
CHRISTIAN BRYANT,SS,1
ROHAN GAINES,SS,2
JORDAN LOMAX,SS,3
CODY DAVIS,FS,1
BRIAN RANDOLPH,FS,2
TJ MCDONALD,S,1
MARK BARRON,S,2
MO ALEXANDER,S,3
NICHOLAS GRIGSBY,S,4
EJ GAINES,RCB,1
COTY SENSABAUGH,RCB,2
MARCUS ROBERSON,RCB,3
TROY HILL,RCB,4
JOHNNY HEKKER,P,1
GREG ZUERLEIN,PK,1
TAYLOR BERTOLET,PK,2
JAKE MCQUAIDE,LS,1
JOHNNY HEKKER,H,1
TAVON AUSTIN,PR,1
BENNY CUNNINGHAM,KR,1
TAVON AUSTIN,KR,2
QUINTON PATTON,LWR,1
BRUCE ELLINGTON,LWR,2
DRES ANDERSON,LWR,3
ERIC ROGERS,LWR,4
DEANDRE SMELTER,LWR,5
DEVON CAJUSTE,LWR,5
TORREY SMITH,RWR,1
DEANDREW WHITE,RWR,2
JEROME SIMPSON,RWR,3
DIANDRE CAMPBELL,RWR,4
AARON BURBRIDGE,RWR,5
BRYCE TREGGS,RWR,5
JOE STALEY,LT,1
JOHN THEUS,LT,2
COLIN KELLY,LT,3
JOSH GARNETT,LG,1
IAN SILBERMAN,LG,2
ZANE BEADLES,LG,3
DANIEL KILGORE,C,1
MARCUS MARTIN,C,2
ANDREW TILLER,RG,1
BRANDON THOMAS,RG,2
BLAKE MUIR,RG,3
ALEX BALDUCCI,RG,4
TRENT BROWN,RT,1
ERIK PEARS,RT,2
FAHN COOPER,RT,3
NORMAN PRICE,RT,4
VANCE MCDONALD,TE,1
GARRETT CELEK,TE,2
BLAKE BELL,TE,3
RORY ANDERSON,TE,4
JE'RON HAMM,TE,5
BLAINE GABBERT,QB,1
COLIN KAEPERNICK,QB,2
THADDEUS LEWIS,QB,3
JEFF DRISKEL,QB,4
BRUCE MILLER,FB,1
CARLOS HYDE,RB,1
MIKE DAVIS,RB,2
DUJUAN HARRIS,RB,3
SHAUN DRAUGHN,RB,4
KELVIN TAYLOR,RB,5
GLENN DORSEY,LDT,1
ARIK ARMSTEAD,LDT,2
TONY EDDIE,LDT,3
RONALD BLAIR,LDT,4
IAN WILLIAMS,NT,1
MIKE PURCELL,NT,2
KALEB RAMSEY,NT,3
DARREN LAKE,NT,4
DEFOREST BUCKNER,RDT,1
QUINTON DIAL,RDT,2
GARRISON SMITH,RDT,3
DEMETRIUS CHERRY,RDT,4
AHMAD BROOKS,LOLB,1
COREY LEMONIER,LOLB,2
TANK CARRADINE,LOLB,3
JASON FANAIKA,LOLB,4
NAVORRO BOWMAN,RILB,1
SHAYNE SKOV,RILB,2
GERALD HODGES,LILB,1
MICHAEL WILHOITE,LILB,2
NICK BELLORE,LILB,3
WYNTON MCMANIS,LILB,4
AARON LYNCH,ROLB,1
ELI HAROLD,ROLB,2
RAY RAY ARMSTRONG,ROLB,3
MARCUS RUSH,ROLB,4
LENNY JONES,ROLB,5
TRAMAINE BROCK,LCB,1
DONTAE JOHNSON,LCB,2
CHRIS DAVIS,LCB,3
RASHARD ROBINSON,LCB,4
PRINCE CHARLES IWORAH,LCB,5
ANTOINE BETHEA,SS,1
JAQUISKI TARTT,SS,2
ERIC REID,FS,1
LJ MCCRAY,FS,2
JERED BELL,FS,3
JIMMIE WARD,RCB,1
KENNETH ACKER,RCB,2
KEITH REASER,RCB,3
MARCUS CROMARTIE,RCB,4
WILL REDMOND,RCB,5
BRADLEY PINION,P,1
PHIL DAWSON,PK,1
JOHN LUNSFORD,PK,2
KYLE NELSON,LS,1
BRADLEY PINION,H,1
BRUCE ELLINGTON,PR,1
DEANDREW WHITE,PR,2
BRUCE ELLINGTON,KR,1
DEANDREW WHITE,KR,2
PHIL DAWSON,KO,1
JOHN LUNSFORD,KO,2
DOUG BALDWIN,LWR,1
TYLER LOCKETT,LWR,2
ANTWAN GOODLEY,LWR,3
DESHON FOXX,LWR,4
TANNER MCEVOY,LWR,5
DOUGLAS MCNEIL,LWR,5
JERMAINE KEARSE,RWR,1
PAUL RICHARDSON,RWR,2
KENNY LAWLER,RWR,3
KASEN WILLIAMS,RWR,4
KEVIN SMITH,RWR,5
TYLER SLAVIN,RWR,5
GARRY GILLIAM,LT,1
TERRY POOLE,LT,2
GEORGE FANT,LT,3
MARK GLOWINSKI,LG,1
KRISTJAN SOKOLI,LG,2
KONA SCHWENKE,LG,3
JUSTIN BRITT,C,1
PATRICK LEWIS,C,2
JOEY HUNT,C,3
GERMAIN IFEDI,RG,1
REES ODHIAMBO,RG,2
J'MARCUS WEBB,RT,1
BRADLEY SOWELL,RT,2
LENE MAIAVA,RT,3
JIMMY GRAHAM,TE,1
COOPER HELFET,TE,2
RONNIE SHIELDS,TE,3
LUKE WILLSON,TE,1
NICK VANNETT,TE,2
BRANDON WILLIAMS,TE,3
RUSSELL WILSON,QB,1
TREVONE BOYKIN,QB,2
JAKE HEAPS,QB,3
THOMAS RAWLS,RB,1
CHRISTINE MICHAEL,RB,2
CJ PROSISE,RB,3
ALEX COLLINS,RB,4
ZAC BROOKS,RB,5
TRE MADDEN,RB,4
BRANDON COTTOM,RB,5
MICHAEL BENNETT,LDE,1
FRANK CLARK,LDE,2
AHTYBA RUBIN,LDT,1
JARRAN REED,LDT,2
JUSTIN HAMILTON,LDT,3
DEANGELO TYSON,LDT,4
TANIELA TUPOU,LDT,5
JORDAN HILL,RDT,1
SEALVER SILIGA,RDT,2
WILL PERICAK,RDT,3
QUINTON JEFFERSON,RDT,4
BRANDIN BRYANT,RDT,5
CLIFF AVRIL,RDE,1
CHRIS CLEMONS,RDE,2
CASSIUS MARSH,RDE,3
RYAN ROBINSON,RDE,4
MICHAEL MORGAN,LOLB,1
MONTESE OVERTON,LOLB,2
DAVID PERKINS,LOLB,3
KHAIRI FORTT,LOLB,4
BOBBY WAGNER,MLB,1
BROCK COYLE,MLB,2
STEVE LONGA,MLB,3
KYLE COLEMAN,MLB,4
KJ WRIGHT,ROLB,1
KEVIN LOUIS,ROLB,2
ERIC PINKINS,ROLB,3
TAVARIS BARNES,ROLB,4
PETE ROBERTSON,ROLB,5
RICHARD SHERMAN,LCB,1
MARCUS BURLEY,LCB,2
TYE SMITH,LCB,3
STANLEY BAPTISTE,LCB,4
DEANDRE ELLIOTT,LCB,5
KAM CHANCELLOR,SS,1
KELCIE MCCRAY,SS,2
TYVIS POWELL,SS,3
EARL THOMAS,FS,1
STEVEN TERRELL,FS,2
BRANDON BROWNER,RCB,1
THAROLD SIMON,RCB,2
GEORGE FARMER,RCB,3
TROVON REED,RCB,4
DESHAWN SHEAD,RCB,5
JEREMY LANE,N-B,1
JON RYAN,P,1
STEVEN HAUSCHKA,PK,1
DREW FERRIS,LS,1
JON RYAN,H,1
TYLER LOCKETT,PR,1
DOUG BALDWIN,PR,2
TYLER LOCKETT,KR,1
DOUG BALDWIN,KR,2
JEFF FULLER,RES,1
MOHAMMED SEISAY,RES,2
CHRISTIAN FRENCH,RES,3
